isin;name;field;reason;detail;euronext_link;amf_geco_search
NL0012059018;EXOR;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0012059018-XAMS;https://geco.amf-france.org
NL0011585146;FERRARI;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0011585146-MTAA;https://geco.amf-france.org
IT0000072170;FINECOBANK;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0000072170-MTAA;https://geco.amf-france.org
PTGAL0AM0009;GALP ENERGIA-NOM;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/PTGAL0AM0009-XLIS;https://geco.amf-france.org
BE0003797140;GBL;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0003797140-XBRU;https://geco.amf-france.org
IT0000062072;GENERALI;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0000062072-MTAA;https://geco.amf-france.org
FR0000052292;HERMES INTL;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000052292-XPAR;https://geco.amf-france.org
NL0010801007;IMCD;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0010801007-XAMS;https://geco.amf-france.org
LU2290522684;INPOST S.A.;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/LU2290522684-XAMS;https://geco.amf-france.org
IT0000072618;INTESA SANPAOLO;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0000072618-MTAA;https://geco.amf-france.org
IT0005090300;INWIT;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0005090300-MTAA;https://geco.amf-france.org
FR0010259150;IPSEN;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0010259150-XPAR;https://geco.amf-france.org
PTJMT0AE0001;J.MARTINS;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/PTJMT0AE0001-XLIS;https://geco.amf-france.org
IE0004906560;KERRY GROUP PLC;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IE0004906560-XMSM;https://geco.amf-france.org
IE0004927939;KINGSPAN GROUP PLC;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IE0004927939-XMSM;https://geco.amf-france.org
FR0000120321;L'OREAL;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000120321-XPAR;https://geco.amf-france.org
IT0003856405;LEONARDO;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0003856405-MTAA;https://geco.amf-france.org
BE0003604155;LOTUS BAKERIES;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0003604155-XBRU;https://geco.amf-france.org
IT0000062957;MEDIOBANCA;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0000062957-MTAA;https://geco.amf-france.org
BE0165385973;MELEXIS;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0165385973-XBRU;https://geco.amf-france.org
IT0004965148;MONCLER;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0004965148-MTAA;https://geco.amf-france.org
BE0003853703;MONTEA NV;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0003853703-XBRU;https://geco.amf-france.org
IT0003796171;POSTE ITALIANE;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0003796171-MTAA;https://geco.amf-france.org
IT0004176001;PRYSMIAN;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0004176001-MTAA;https://geco.amf-france.org
IT0003828271;RECORDATI ORD;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0003828271-MTAA;https://geco.amf-france.org
IE00BYTBXV33;RYANAIR HOLDINGS PLC;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IE00BYTBXV33-XMSM;https://geco.amf-france.org
NL0000379121;Randstad N.V.;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0000379121-XAMS;https://geco.amf-france.org
IT0003153415;SNAM;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0003153415-MTAA;https://geco.amf-france.org
FR0000121220;SODEXO;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000121220-XPAR;https://geco.amf-france.org
BE0003717312;SOFINA;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0003717312-XBRU;https://geco.amf-france.org
BE0003470755;SOLVAY;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0003470755-XBRU;https://geco.amf-france.org
BE0974464977;SYENSQO;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0974464977-XBRU;https://geco.amf-france.org
LU2598331598;TENARIS;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/LU2598331598-MTAA;https://geco.amf-france.org
IT0003242622;TERNA;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0003242622-MTAA;https://geco.amf-france.org
