isin;yahoo_ticker;ticker_primary;mic;exchange;currency;validation_status;source_url;as_of
LU1681047079;C4D.PA;C4D;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTC4D/;2026-08-06
LU1681037518;FMI.PA;FMI;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTFMI/;2026-08-06
LU1681043599;CW8.PA;CW8;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTCW8/;2026-08-06
LU2655993207;EWLD.PA;EWLD;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTEWLD/;2026-08-06
LU1681038672;RS2K.PA;RS2K;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTRS2K/;2026-08-06
FR0010655746;CS1.PA;CS1;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTCS1/;2026-08-06
LU2182388582;PABZ.PA;PABZ;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPABZ/;2026-08-06
LU0908501058;MFED.PA;MFED;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTMFED/;2026-08-06
LU2059756325;CMUD.PA;CMUD;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://live.euronext.com/en/product/etfs/LU2059756325-XPAR/market-information;2026-08-06
LU1602144575;CMU.PA;CMU;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTCMU/;2026-08-06
FR0010717090;CD8.PA;CD8;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTCD8/;2026-08-06
LU2109787635;EESG.PA;EESG;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTEESG/;2026-08-06
LU1598689153;MMS.PA;MMS;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTMMS/;2026-08-06
LU1598690169;VAL.PA;VAL;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTVAL/;2026-08-06
FR0010405431;GRE.PA;GRE;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTGRE/;2026-08-06
